Filename,Color1-face,Color2-face,Color3-face,Color1-rb,Color2-rb,Color3-rb,Color1-lb,Color2-lb,Color3-lb,Color1-re,Color2-re,Color3-re,Color1-le,Color2-le,Color3-le,Color1-nose,Color2-nose,Color3-nose,Color1-ulip,Color2-ulip,Color3-ulip,Color1-llip,Color2-llip,Color3-llip,Color1-hair,Color2-hair,Color3-hair
result_00_0.jpg,[167 107  73],[209 149 112],[95 57 34],[126  84  60],[173 123  96],[94 59 37],[159 110  78],[103  67  45],[51 29 15],[105  80  73],[32 17 10],[70 46 34],[67 44 36],[27 12  9],[120 102 100],[219 163 126],[202 139  98],[170 106  68],[106  40  26],[200 111  97],[182  82  67],[204 112  99],[143  55  43],[182  86  72],[67 42 22],[120  81  50],[25 12  6]
result_01_0.jpg,[195 150 108],[228 189 156],[119  80  49],[169 127  89],[198 159 120],[136  93  58],[151 107  70],[213 173 138],[181 137 100],[204 190 177],[137 123 112],[58 51 43],[204 195 186],[33 26 20],[130 121 112],[221 181 146],[236 197 168],[205 157 121],[213 152 123],[185 111  84],[109  32  14],[210 128 107],[229 177 155],[186  95  74],[182 144  97],[141  95  46],[92 36 11]
result_02_0.jpg,[166 132  94],[72 51 24],[129  92  50],[149 141 128],[74 59 40],[109  97  73],[88 66 45],[56 38 26],[124 100  66],[22 20 25],[144 148 151],[108  89  75],[27 22 28],[140 143 150],[99 85 72],[179 130  87],[151 102  59],[95 70 40],[95 68 51],[60 40 31],[130  88  74],[163 112  95],[88 65 51],[136  89  71],[67 51 36],[156 115  87],[40 30 20]
result_03_0.jpg,[207 192 163],[146 118  81],[184 166 128],[138 112  77],[164 142 105],[113  80  49],[168 140 103],[190 171 141],[138 102  68],[171 161 125],[78 71 45],[138 115  84],[75 57 37],[175 158 128],[127 112  83],[188 168 133],[117  61  46],[212 196 173],[162  93  78],[124  47  39],[185 130 110],[160  85  82],[195 144 140],[177 110 104],[30 15 10],[124  90  52],[75 42 25]
result_04_0.jpg,[160  88  29],[218 149  84],[94 44 19],[133  69   5],[91 52 13],[63 33  9],[156 105  52],[129  77  19],[92 59 18],[93 53 17],[20 11  6],[176 125  80],[27 12  9],[92 56 22],[164 107  64],[233 159  84],[59 20  3],[177 100  28],[130  58  10],[198 126  68],[72 24  2],[193 118  79],[239 183 148],[124  53  11],nan,nan,nan
result_05_0.jpg,[222 186 172],[100  73  66],[185 143 127],[115  91  87],[164 130 118],[205 172 157],[111  92  85],[191 157 145],[150 123 116],[109  95  94],[54 44 43],[179 167 167],[106  97  98],[193 194 196],[54 49 46],[206 160 145],[172 124 110],[222 180 166],[186 110 110],[134  72  75],[205 145 145],[201 125 129],[214 162 164],[164  94  92],[70 52 40],[201 188 169],[151 125  98]
result_06_0.jpg,[138  70  51],[172  95  77],[193 127 113],[159  97  76],[147  89  67],[170 112  90],[154  91  74],[166 101  83],[138  81  64],[68 35 26],[117  73  60],[151 105  92],[146  93  85],[70 35 29],[113  65  53],[154  68  55],[182  89  71],[198 115 101],[164 138 115],[120  70  61],[157  91  79],[197 134 127],[138  65  56],[172  94  84],[147 102  71],[126  77  45],[173 133  97]
result_07_0.jpg,[176 119  92],[216 168 145],[92 54 41],[162 111  90],[125  83  69],[188 146 121],[164 110  86],[127  81  65],[91 49 37],[60 37 29],[191 182 183],[125  97  94],[109  79  69],[56 33 25],[171 161 160],[202 143 113],[223 175 153],[183 120  89],[188 113  90],[160  85  66],[111  54  43],[202 123 108],[185 103  81],[213 156 139],[125  79  55],[51 24 13],[86 47 30]
result_08_0.jpg,[174 123  94],[118  85  66],[212 150 125],[141 101  76],[177 135 110],[94 61 42],[165 124 102],[131  90  70],[85 52 35],[115 100  79],[183 140 121],[74 44 18],[68 41 22],[180 144 122],[119  90  74],[113  48  30],[178 114  87],[213 145 122],[151  91  81],[125  58  52],[184 128 111],[193 134 118],[165  98  92],[221 169 158],[112  95  85],[77 62 57],[142 131 125]
result_09_0.jpg,[232 197 175],[127  84  68],[200 152 129],[159 116  97],[105  71  59],[204 162 140],[135 102  87],[174 138 122],[100  68  57],[138 110  96],[197 174 166],[83 70 54],[123 111  97],[62 49 40],[211 204 198],[209 157 133],[231 190 170],[183 128 108],[141  70  68],[181  91  90],[204 123 119],[188 100  99],[231 171 173],[207 132 127],[77 51 34],[126  92  67],[178 144 116]
result_10_0.jpg,[237 174 141],[115  72  53],[204 131  96],[154  92  69],[112  57  37],[192 125  98],[160  96  71],[123  62  41],[200 133 104],[63 56 46],[237 223 212],[137 135 122],[143 141 126],[59 49 37],[214 204 192],[234 158 124],[154  92  67],[211 131  94],[228 155 138],[200 101  82],[151  69  57],[223 109  99],[192  81  72],[243 146 139],[138 119 105],[69 59 49],[20 17 10]
result_11_0.jpg,[231 172 138],[162 121 101],[101  75  48],[199 140 106],[108  66  26],[154 102  63],[80 66 39],[131 107  95],[99 88 68],[213 171 133],[66 45 14],[153 116  71],[152 117  98],[45 39 15],[105  90  69],[126  88  65],[242 192 165],[214 145 114],[67 39 15],[121  82  53],[100  56  31],[88 52 28],[217 136 109],[156 100  77],[53 48 28],[113  94  62],[182 134  94]
result_12_0.jpg,[143  85  65],[199 128 106],[235 166 150],[92 48 35],[139  83  66],[177 116  97],[109  60  46],[158  99  81],[201 140 122],[131 107 105],[194 195 197],[65 56 57],[130 107 113],[53 47 49],[193 191 196],[215 139 125],[172  99  82],[237 165 151],[176  86  95],[218 138 151],[136  60  62],[213 123 133],[134  48  59],[187  87  97],[53 26 17],[207 154 120],[145  95  62]
result_13_0.jpg,[190 136 110],[230 173 146],[117  84  67],[98 68 57],[188 146 130],[140 106  94],[148 109  92],[192 150 128],[100  72  58],[207 169 158],[60 54 58],[140 127 119],[69 59 58],[208 181 170],[145 124 119],[216 150 124],[236 174 151],[192 128 101],[208 140 127],[182 114 103],[230 167 152],[218 145 138],[184 125 111],[239 171 172],[97 69 57],[38 27 21],[162 124 105]
result_14_0.jpg,[114  73  55],[191 139 115],[158 107  80],[142  90  66],[172 118  90],[118  67  48],[95 53 37],[120  72  52],[148 103  80],[48 33 28],[120  94  79],[85 62 54],[118  86  71],[38 29 24],[75 58 51],[142  90  68],[206 158 136],[178 124 100],[151  72  57],[103  46  39],[178 109  93],[175 102  85],[133  61  49],[199 144 137],[36 25 21],[73 41 30],[115  67  47]
result_15_0.jpg,[232 177 156],[124  79  60],[201 146 125],[174 122  98],[195 141 113],[149  97  76],[207 155 131],[152 101  82],[184 128 105],[173 145 133],[61 37 27],[114  92  79],[112  92  83],[58 39 32],[177 147 139],[238 183 162],[171 114  97],[214 162 140],[206 105 119],[180  76  85],[137  59  57],[210 103 111],[189  85  92],[216 142 143],[77 34 15],[190 131 101],[131  75  48]
result_16_0.jpg,[194 136 114],[221 170 149],[136  94  80],[175 122 104],[146  93  77],[206 155 134],[141  94  74],[192 141 120],[166 118  96],[88 80 78],[135 131 132],[36 37 41],[70 68 69],[21 24 31],[120 116 117],[230 179 158],[130  55  50],[203 140 122],[191 129 118],[108  47  46],[166  87  80],[206 149 142],[120  79  75],[186 122 113],[217 190 163],[168 127  95],[95 63 40]
result_17_0.jpg,[246 153  92],[97 41 26],[189  98  54],[114  62  40],[75 37 26],[158  85  50],[65 27 26],[37 12 16],[96 43 35],[216 145  89],[38 20 16],[133  79  45],[21  9 13],[93 51 37],[152 110  72],[247 148  91],[160  76  42],[252 188 124],[170  71  40],[234 118  71],[110  35  16],[226 102  64],[153  57  32],[249 142  90],[114  68  42],[171 118  76],[53 26 19]
